"date","location","observation","age_group","target"
2025-10-18,"10",0,"5-17","inc hosp"
2025-10-18,"10",0,"18-49","inc hosp"
2025-10-18,"10",0,"50-64","inc hosp"
2025-10-18,"10",1,"65-130","inc hosp"
2025-10-25,"10",0,"0-4","inc hosp"
2025-10-25,"10",0,"5-17","inc hosp"
2025-10-25,"10",0,"18-49","inc hosp"
2025-10-25,"10",0,"50-64","inc hosp"
2025-10-25,"10",0,"65-130","inc hosp"
2025-11-01,"10",0,"0-4","inc hosp"
2025-11-01,"10",0,"5-17","inc hosp"
2025-11-01,"10",0,"18-49","inc hosp"
2025-11-01,"10",0,"50-64","inc hosp"
2025-11-01,"10",3,"65-130","inc hosp"
2025-11-08,"10",1,"0-4","inc hosp"
2025-11-08,"10",0,"5-17","inc hosp"
2025-11-08,"10",1,"18-49","inc hosp"
2025-11-08,"10",1,"50-64","inc hosp"
2025-11-08,"10",1,"65-130","inc hosp"
2025-11-15,"10",0,"0-4","inc hosp"
2025-11-15,"10",1,"5-17","inc hosp"
2025-11-15,"10",1,"18-49","inc hosp"
2025-11-15,"10",1,"50-64","inc hosp"
2025-11-15,"10",4,"65-130","inc hosp"
2025-11-22,"10",1,"0-4","inc hosp"
2025-11-22,"10",3,"5-17","inc hosp"
2025-11-22,"10",1,"18-49","inc hosp"
2025-11-22,"10",2,"50-64","inc hosp"
2025-11-22,"10",6,"65-130","inc hosp"
2025-11-29,"10",1,"0-4","inc hosp"
2025-11-29,"10",2,"5-17","inc hosp"
2025-11-29,"10",1,"18-49","inc hosp"
2025-11-29,"10",2,"50-64","inc hosp"
2025-11-29,"10",7,"65-130","inc hosp"
2025-12-06,"10",1,"0-4","inc hosp"
2025-12-06,"10",1,"5-17","inc hosp"
2025-12-06,"10",3,"18-49","inc hosp"
2025-12-06,"10",1,"50-64","inc hosp"
2025-12-06,"10",11,"65-130","inc hosp"
2025-12-13,"10",4,"0-4","inc hosp"
2025-12-13,"10",4,"5-17","inc hosp"
2025-12-13,"10",6,"18-49","inc hosp"
2025-12-13,"10",5,"50-64","inc hosp"
2025-12-13,"10",20,"65-130","inc hosp"
2025-12-20,"10",15,"0-4","inc hosp"
2025-12-20,"10",10,"5-17","inc hosp"
2025-12-20,"10",18,"18-49","inc hosp"
2025-12-20,"10",20,"50-64","inc hosp"
2025-12-20,"10",36,"65-130","inc hosp"
2025-12-27,"10",14,"0-4","inc hosp"
2025-12-27,"10",21,"5-17","inc hosp"
2025-12-27,"10",34,"18-49","inc hosp"
2025-12-27,"10",27,"50-64","inc hosp"
2025-12-27,"10",115,"65-130","inc hosp"
2026-01-03,"10",31,"0-4","inc hosp"
2026-01-03,"10",10,"5-17","inc hosp"
2026-01-03,"10",34,"18-49","inc hosp"
2026-01-03,"10",25,"50-64","inc hosp"
2026-01-03,"10",109,"65-130","inc hosp"
2026-01-10,"10",13,"0-4","inc hosp"
2026-01-10,"10",9,"5-17","inc hosp"
2026-01-10,"10",26,"18-49","inc hosp"
2026-01-10,"10",21,"50-64","inc hosp"
2026-01-10,"10",105,"65-130","inc hosp"
2026-01-17,"10",13,"0-4","inc hosp"
2026-01-17,"10",10,"5-17","inc hosp"
2026-01-17,"10",13,"18-49","inc hosp"
2026-01-17,"10",19,"50-64","inc hosp"
2026-01-17,"10",79,"65-130","inc hosp"
2026-01-24,"10",15,"0-4","inc hosp"
2026-01-24,"10",8,"5-17","inc hosp"
2026-01-24,"10",17,"18-49","inc hosp"
2026-01-24,"10",16,"50-64","inc hosp"
2026-01-24,"10",45,"65-130","inc hosp"
2026-01-31,"10",10,"0-4","inc hosp"
2026-01-31,"10",2,"5-17","inc hosp"
2026-01-31,"10",14,"18-49","inc hosp"
2026-01-31,"10",9,"50-64","inc hosp"
2026-01-31,"10",39,"65-130","inc hosp"
2026-02-07,"10",2,"0-4","inc hosp"
2026-02-07,"10",5,"5-17","inc hosp"
2026-02-07,"10",6,"18-49","inc hosp"
2026-02-07,"10",10,"50-64","inc hosp"
2026-02-07,"10",28,"65-130","inc hosp"
2026-02-14,"10",12,"0-4","inc hosp"
2026-02-14,"10",11,"5-17","inc hosp"
2026-02-14,"10",3,"18-49","inc hosp"
2026-02-14,"10",6,"50-64","inc hosp"
2026-02-14,"10",16,"65-130","inc hosp"
2026-02-21,"10",12,"0-4","inc hosp"
2026-02-21,"10",9,"5-17","inc hosp"
2026-02-21,"10",4,"18-49","inc hosp"
2026-02-21,"10",7,"50-64","inc hosp"
2026-02-21,"10",17,"65-130","inc hosp"
2026-02-28,"10",5,"0-4","inc hosp"
2026-02-28,"10",11,"5-17","inc hosp"
2026-02-28,"10",10,"18-49","inc hosp"
2026-02-28,"10",4,"50-64","inc hosp"
2026-02-28,"10",10,"65-130","inc hosp"
2026-03-07,"10",7,"0-4","inc hosp"
2026-03-07,"10",7,"5-17","inc hosp"
2026-03-07,"10",4,"18-49","inc hosp"
2026-03-07,"10",5,"50-64","inc hosp"
2026-03-07,"10",8,"65-130","inc hosp"
2026-03-14,"10",9,"0-4","inc hosp"
2026-03-14,"10",16,"5-17","inc hosp"
2026-03-14,"10",6,"18-49","inc hosp"
2026-03-14,"10",0,"50-64","inc hosp"
2026-03-14,"10",7,"65-130","inc hosp"
2026-03-21,"10",9,"0-4","inc hosp"
2026-03-21,"10",7,"5-17","inc hosp"
2026-03-21,"10",4,"18-49","inc hosp"
2026-03-21,"10",1,"50-64","inc hosp"
2026-03-21,"10",3,"65-130","inc hosp"
2026-03-28,"10",0,"0-4","inc hosp"
2026-03-28,"10",0,"5-17","inc hosp"
2026-03-28,"10",1,"18-49","inc hosp"
2026-03-28,"10",0,"50-64","inc hosp"
2026-03-28,"10",3,"65-130","inc hosp"
2026-04-04,"10",0,"0-4","inc hosp"
2026-04-04,"10",1,"5-17","inc hosp"
2026-04-04,"10",1,"18-49","inc hosp"
2026-04-04,"10",1,"50-64","inc hosp"
2026-04-04,"10",4,"65-130","inc hosp"
2026-04-11,"10",1,"0-4","inc hosp"
2026-04-11,"10",0,"5-17","inc hosp"
2026-04-11,"10",0,"18-49","inc hosp"
2026-04-11,"10",2,"50-64","inc hosp"
2026-04-11,"10",3,"65-130","inc hosp"
2026-04-18,"10",0,"0-4","inc hosp"
2026-04-18,"10",1,"5-17","inc hosp"
2026-04-18,"10",0,"18-49","inc hosp"
2026-04-18,"10",0,"50-64","inc hosp"
2026-04-18,"10",1,"65-130","inc hosp"
2026-04-25,"10",1,"0-4","inc hosp"
2026-04-25,"10",2,"5-17","inc hosp"
2026-04-25,"10",0,"18-49","inc hosp"
2026-04-25,"10",1,"50-64","inc hosp"
2026-04-25,"10",2,"65-130","inc hosp"
2026-05-02,"10",1,"0-4","inc hosp"
2026-05-02,"10",0,"5-17","inc hosp"
2026-05-02,"10",1,"18-49","inc hosp"
2026-05-02,"10",0,"50-64","inc hosp"
2026-05-02,"10",2,"65-130","inc hosp"
2026-05-09,"10",0,"0-4","inc hosp"
2026-05-09,"10",1,"5-17","inc hosp"
2026-05-09,"10",0,"18-49","inc hosp"
2026-05-09,"10",0,"50-64","inc hosp"
2026-05-09,"10",3,"65-130","inc hosp"
2026-05-16,"10",1,"0-4","inc hosp"
2026-05-16,"10",0,"5-17","inc hosp"
2026-05-16,"10",1,"18-49","inc hosp"
2026-05-16,"10",1,"50-64","inc hosp"
2026-05-16,"10",2,"65-130","inc hosp"
2026-05-23,"10",0,"0-4","inc hosp"
2026-05-23,"10",0,"5-17","inc hosp"
2026-05-23,"10",0,"18-49","inc hosp"
2026-05-23,"10",1,"50-64","inc hosp"
2026-05-23,"10",1,"65-130","inc hosp"
